Project Name,p_link,BHK,Price,Price per Sqft,Area with Type,No_open_sides,Boundary_Wall,Width of Facing road,Ownership,Authority Approved,Corner_Property,Gated Society,Address,Facing,Construction Status,Age Possession/completion date,Property Status,RERA ID,Property ID,Nearby Landmarks,Features,Key Highlights,Open Space (in %),Units Available,Description,Ratings
Rajat Park Society,https://www.99acres.com/residential-land-plot-for-sale-in-chandkheda-ahmedabad-north-510-sq-yard-spid-H81988246,Residential land / Plot,3.7 Cr,"₹8,061 /sqft",Plot_area 4590 sq.ft.l*b :*,4.0,Yes,40.0 ft,Freehold,Local Authority,,Yes,"Rajat Park Society, Chandkheda, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,H81988246,"['4D Square mall', 'Khodiyar Temple', 'State bank of india ATM', 'Utkarsh Hospital Ahmedabad', 'Dr Yashvant Chhatbar', 'Mahavir Clinic and Nursing Home', 'Kalyani Nursing Home and Sonography Clinic', 'Pushp Hospital and Maternity Home', 'Pushpam Hospital Ahmedabad', 'Health Center', 'Ansh Multispeciality Hospital', 'Sentara Multispeciality Hospital', 'Rhythm Heart and Medical Hospital', 'Navjivan Hospital', 'Navodaya Hospital for Neonates and Children', 'Amrut Arogyadham Medical Hospital', 'Chandkheda Orthopedic & Surgical Hospital', 'Shivam Surgical and Dental Hospital', 'Shreyas Orthopedic Hospital Ahmedabad', 'Shree Sai Children Hospital', 'Satyam Children Hospital', 'Netra Jyoti Eye and Ent Hospital', 'Satyamev Hospital', 'Devarshi Super Speciality Hospital', 'Sanskar Heart Care And Medical Hospital', 'Shilp E.N.T Clinic and Hospital', 'Om Pediatric and Neonatal Criticare Hospital', 'Vijaya Maternity and Surgical Nursing Home', 'J K Dental Hospital', 'Sudarshan Multispeciality Hospital', 'Param Multispeciality Hospital', 'Pushpa Children Hospital and Neonatal Care', 'BalMukund Hospital', 'Indus Hospital', 'Sevak Maternity & Surgical Hospital', 'Parimal Hospital', 'Rajdip Children Hospital', 'Aalisha Clinic', 'Lotus Multispeciality Hospital', 'Dhruvi ENT Hospital', ""Aryan's"", 'Kesharbhavani Medical Store', 'Vallabhpark', 'D-cabin', 'Food Temple', ""Sabarmati 'd' cabin railway station"", 'Kali road railway station', 'Chandkheda road railway station', 'Dream Scriptor', 'CoRo Technologies']",['Feng Shui / Vaastu Compliant'],"['East Facing', 'Chandkheda Gam within 1km', 'AMI High School within 1km', 'Parth Hospital within 500m', 'Sabji Market within 1km', 'Overlooking Main Road', 'Feng Shui/ Vaastu Compliant']",,,"Planning to build residence in ahmedabad north? This rajatpark society plot in chandkheda is the best deal for you. The plot is around plot area of 510 sq.Yards in size. To build the residence, possession is expected immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 3.7 crore and it is negotiable.","['Connectivity4.4/5', 'Lifestyle4.3/5', 'Safety4.4/5', 'Green Area4.2/5']"
Thaltej,https://www.99acres.com/residential-land-plot-for-sale-in-thaltej-ahmedabad-west-1498-sq-yard-spid-Z82435400,Residential land / Plot,30 Cr,"₹22,222 /sqft",Plot_area 13499.99 sq.ft.l*b :142 ft.(43.30) m.*77 ft.(23.50) m.,2.0,Yes,59.1 ft,Co-operative Society,AMC,Yes,,"Thaltej, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,Z82435400,[],[], ,,,Planning to purchase a plot in ahmedabad west? This plot in near bagban party plot is situated in one of the excellent locations of the city. It's a 1254 sq.M. Super built up area property. Up to 3 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The property is owned under co-Operative society contract. The plot ...,"['Connectivity4.4/5', 'Lifestyle4.3/5', 'Safety4.3/5', 'Green Area4.2/5']"
Suramya Abode Plot,https://www.99acres.com/residential-land-plot-for-sale-in-sanand-nalsarovar-road-ahmedabad-west-533-sq-yard-r1-spid-M81146439,Residential land / Plot,29.5 Lac,₹615 /sqft,Plot_area 4797 sq.ft.l*b :*,4.0,,29.5 ft,Freehold,AUDA,,Yes,"Suramya Abode Plot, Sanand Nalsarovar Road, Ahmedabad",North-East,Ready To Move,Possession: Immediate *,Resale,not available,M81146439,[],"['Maintenance Staff', 'Water Storage']", ,,,"To build a splendid residence, this plot in sanand nalsarovar road, ahmedabad west is the best fit for you. It spans over spectacular 533 sq.Yards super built up area. Here, a solid foundation can easily withhold construction of 3 floors. The possession of the property can be received immediately. Currently the nature of ownership of the property is freehold. The expected price for the property...",
Changodar,https://www.99acres.com/residential-land-plot-for-sale-in-changodar-ahmedabad-south-1500-sq-yard-r6-spid-K68874376,Residential land / Plot,1.27 Cr,₹944 /sqft,Plot_area 13500 sq.ft.l*b :*,1.0,Yes,,Freehold,,,,"Changodar, Ahmedabad",,Ready To Move,Possession: Immediate *,Resale,not available,K68874376,[],"['Water Storage', 'Rain Water Harvesting']",['Rain Water Harvesting'],,,Highway to location distance 600mtr approx. Rcc road,"['Connectivity3.8/5', 'Lifestyle3.5/5', 'Safety3.4/5', 'Green Area3.5/5']"
Green valley,https://www.99acres.com/residential-land-plot-for-sale-in-goraj-ahmedabad-west-950-sq-yard-r9-spid-U72824735,Residential land / Plot,1.14 Cr,"₹1,333 /sqft",Plot_area 8550 sq.ft.l*b :*,2.0,Yes,39.4 ft,Freehold,AUDA,Yes,Yes,"Green Valley Sanand Nalsarover Road Goraj, Green valley, Goraj, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,U72824735,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']",['Feng Shui/ Vaastu Compliant'],,,Its very good plot for immediate sell nice location nice locality well maintain society with all amenities for further details contact shree sai realty,
Sun Village,https://www.99acres.com/residential-land-plot-for-sale-in-sun-village-south-bopal-ahmedabad-west-267-sq-yard-r9-spid-H72820379,Residential land / Plot,1.47 Cr,"₹6,117 /sqft",Plot_area 2403 sq.ft.l*b :*,2.0,Yes,29.5 ft,Freehold,AUDA,Yes,Yes,"Sun Village Arohi Club Road South Bopal, Sun Village, South Bopal, Ahmedabad",North,Ready To Move,Possession: Immediate *,Resale,not available,H72820379,"['SoBo Centre', 'State bank of india sbi ATM', 'Icici ATM', 'Hdfc ATM', 'Axis ATM', 'Atm hdfc bank', 'Sannidhya Hospital', 'Navkaar Hospital', 'Aastha Orthopaedic Hospital Ahmedabad', 'Devasya Superspeciality Kidney Institute and Research Centre', 'Shreeji Children Hospital', 'Royal Maternity and Nursing Home', 'Bopal Multispeciality Hospital', 'Vanza Hospital', 'Vaishali Hospital', 'Laxmi Heart and Medical Hospital', 'Jay Prasuti Gruh and Nursing Home', 'Krishna Maternity Nursing Home', 'Bopal Eye Care Centre', 'Shivam Hospital', 'Adarsh Hospital', 'Life Care Hospital', 'Apollo Pharmacy', 'Regus Business Centre', 'Sterling City', 'Bopal gam', 'AMTS Ghuma Bus terminal', 'Ghuma BRTS terminal', 'Indian oil CNG n Petrol', 'State bank of india', 'State bank of india', 'Purohit Chavana and Sweet Mart', 'Upper Crest', 'Hocco Eatery', ""McDonald's"", 'Jalaram Parotha house', 'Havmor restaurant', 'LJ University', 'DPS - Delhi Public School', 'Gora railway station']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']",['Feng Shui/ Vaastu Compliant'],,,Its very good plot for immediate sell nice location nice locality well maintain society with all amenities for further details contact shree sai realty,"['Connectivity4.3/5', 'Lifestyle4.2/5', 'Safety4.2/5', 'Green Area4.1/5']"
Sun Village,https://www.99acres.com/residential-land-plot-for-sale-in-sun-village-south-bopal-ahmedabad-west-500-sq-yard-r30-spid-Q49112535,Residential land / Plot,2.5 Cr,"₹5,556 /sqft",Plot_area 4500 sq.ft.l*b :*,2.0,Yes,29.5 ft,Freehold,AUDA,,Yes,"Sun Village Near Sky Sol South Bopal, Sun Village, South Bopal, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,Q49112535,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']",['Feng Shui/ Vaastu Compliant'],,,Its very good residential plot for immediate sell nice location nice locality well maintain society with all good amenities for further details contact shree sai realty,"['Connectivity4.3/5', 'Lifestyle4.2/5', 'Safety4.2/5', 'Green Area4.1/5']"
Aarohi Club Plot,https://www.99acres.com/residential-land-plot-for-sale-in-south-bopal-ahmedabad-west-350-sq-yard-r2-spid-R79348295,Residential land / Plot,2.97 Cr,"₹9,444 /sqft",Plot_area 3150 sq.ft.l*b :198 ft.(60.35) m.*102 ft.(31.09) m.,3.0,Yes,23.0 ft,Freehold,AMC,Yes,Yes,"Sector B, Aarohi Club Plot , South Bopal, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,R79348295,"['SoBo Centre', 'State bank of india sbi ATM', 'Icici ATM', 'Hdfc ATM', 'Axis ATM', 'Atm hdfc bank', 'Sannidhya Hospital', 'Navkaar Hospital', 'Aastha Orthopaedic Hospital Ahmedabad', 'Devasya Superspeciality Kidney Institute and Research Centre', 'Shreeji Children Hospital', 'Royal Maternity and Nursing Home', 'Bopal Multispeciality Hospital', 'Vanza Hospital', 'Vaishali Hospital', 'Laxmi Heart and Medical Hospital', 'Jay Prasuti Gruh and Nursing Home', 'Krishna Maternity Nursing Home', 'Bopal Eye Care Centre', 'Shivam Hospital', 'Adarsh Hospital', 'Life Care Hospital', 'Apollo Pharmacy', 'Regus Business Centre', 'Sterling City', 'Bopal gam', 'AMTS Ghuma Bus terminal', 'Ghuma BRTS terminal', 'Indian oil CNG n Petrol', 'State bank of india', 'State bank of india', 'Purohit Chavana and Sweet Mart', 'Upper Crest', 'Hocco Eatery', ""McDonald's"", 'Jalaram Parotha house', 'Havmor restaurant', 'LJ University', 'DPS - Delhi Public School', 'Gora railway station']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['Corner Property', 'Close to Mall', 'Overlooking Park/Garden', 'Overlooking Main Road', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,This plot in south bopal provides you great opportunity to build a fabulous residence in ahmedabad west. It spans over spectacular 350 sq.Yards super built up area. Up to 2 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The owner of the property has freehold entitlement over the land. The asking price is only 2....,"['Connectivity4.3/5', 'Lifestyle4.2/5', 'Safety4.2/5', 'Green Area4.1/5']"
Nandanvan bunglows,https://www.99acres.com/residential-land-plot-for-sale-in-shela-ahmedabad-west-1140-sq-yard-spid-V81964734,Residential land / Plot,11.4 Cr,"₹11,111 /sqft",Plot_area 10260 sq.ft.l*b :*,2.0,Yes,,Freehold,AUDA,,Yes,"010, Nandanvan bunglows, Shela, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,V81964734,"['SoBo Centre', 'State bank of india sbi ATM', 'Icici ATM', 'Hdfc ATM', 'Axis ATM', 'Atm hdfc bank', 'Navkaar Hospital', 'Sannidhya Hospital', 'Sahyog General Hospital and Nursing Home', 'Life Care Hospital', 'Sahyog Hospital', 'Devasya Superspeciality Kidney Institute and Research Centre', 'Apollo Pharmacy', 'Regus Business Centre', 'AMTS Ghuma Bus terminal', 'Ghuma BRTS terminal', 'Sterling City', 'Bopal gam', 'State bank of india', 'Upper Crest', 'Purohit Chavana and Sweet Mart', 'Hocco Eatery', ""McDonald's"", 'CTP3R-WDFCC Project Office Larsen & Toubro Limited']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['East Facing', 'south Bopal within 2km', 'Feng Shui/ Vaastu Compliant']",,,"Nandanvan bunglows in shela, ahmedabad west, refers to a residential project, specifically a collection of villas, located in the shela area of ahmedabad. This project is often referred to as galaxy nandanbaug shela by galaxy group. The project offers various villa types, including 3.5 bhk units.","['Connectivity4/5', 'Lifestyle4.1/5', 'Safety4.2/5', 'Green Area4.3/5']"
Sanand,https://www.99acres.com/residential-land-plot-for-sale-in-sanand-ahmedabad-west-40656-sq-yard-r1-spid-J81611021,Residential land / Plot,39.9 Cr,"₹1,090 /sqft",Plot_area 365904 sq.ft.l*b :*,4.0,Yes,,Freehold,,,,"Sanand, Ahmedabad",,Ready To Move,Possession: Immediate *,Resale,not available,J81611021,"['Massom Children Hospital', 'Vishwa Vatsalya General Hospital', 'Sanand Hospital and Trauma Centre', 'Chauhan Hospital', 'Shreeji Multi Speciality Hospital', 'Sanand Janta Multispeciality Hospital', 'Ashirvad Hospital and Clinic', 'Navjeevan Doctor House', 'Sanjivani Hospital', 'Suvidha Orthopedic And Acccident Hospital']",[], ,,,Prime location residential non agriculture land at prime location for future growth perspective.Kindly call for more details & similar properties.,"['Connectivity3.8/5', 'Lifestyle3.9/5', 'Safety3.8/5', 'Green Area3.7/5']"
