Project Name,p_link,BHK,Price,Price per Sqft,Area with Type,No_open_sides,Boundary_Wall,Width of Facing road,Ownership,Authority Approved,Corner_Property,Gated Society,Address,Facing,Construction Status,Age Possession/completion date,Property Status,RERA ID,Property ID,Nearby Landmarks,Features,Key Highlights,Open Space (in %),Units Available,Description,Ratings
7 wonders,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-125-sq-yard-spid-E82005748,Residential land / Plot,10.64 Lac,₹946 /sqft,Plot_area 1125 sq.ft.l*b :108 ft.(32.92) m.*75 ft.(22.86) m.,1.0,Yes,39.4 ft,Freehold,,,Yes,"F-16, 7 wonders, Dholera, Ahmedabad",East,Under Construction,Possession: Within 6 months *,Resale,not available,E82005748,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,The land of opportunities is calling! Own your dream plot in dholera indias smart investment hub! Presenting: 7 wonders by k&t group Where lifestyle meets investment potential Why choose 7 wonders? On 250m wide ahmedabad-Dholera expressway Just 5 km from dholera international airport All east/west facing plots 2 side open land Prime location with high growth returns Project highlights: Land par...,"['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera Expressway City - V,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-164-sq-yard-spid-U82769022,Residential land / Plot,13.13 Lac,₹888 /sqft,Plot_area 1479 sq.ft.l*b :*,2.0,Yes,24.6 ft,Freehold,,,Yes,"Dholera Expressway City - V, Dholera, Ahmedabad",,Under Construction,Possession: Dec 2030 *,Resale,not available,U82769022,[],[], ,,,"High-Return proposition & key township cluster in prime destination Dholera expressway city- V is a key cluster of dholera expressway city and dholera expressway avenue within the 52-Acre township development spread across anandpurpipli, strategically located near dholera expressway and dholera international airportmaking it a prime destination for high-Return investments with modern amenities....","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera Expressway City - V,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-367-sq-yard-spid-O82768898,Residential land / Plot,29.3 Lac,₹888 /sqft,Plot_area 3299 sq.ft.l*b :*,2.0,Yes,,Freehold,,,Yes,"Dholera Expressway City - V, Dholera, Ahmedabad",East,Under Construction,Possession: Dec 2030 *,Resale,not available,O82768898,[],[], ,,,"High-Return proposition & key township cluster in prime destination Dholera expressway city- V is a key cluster of dholera expressway city and dholera expressway avenue within the 52-Acre township development spread across anandpurpipli, strategically located near dholera expressway and dholera international airportmaking it a prime destination for high-Return investments with modern amenities....","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-400-sq-yard-spid-Z82816042,Residential land / Plot,16 Lac,₹444 /sqft,Plot_area 3600 sq.ft.l*b :*,1.0,Yes,40.0 ft,Freehold,AMC,,Yes,"Dholera, Ahmedabad",North-East,Under Construction,Possession: Within 3 months *,Resale,not available,Z82816042,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,Very good investment near the asia's biggest cargo airport city dulera is first smattest city in india,"['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera Dream City,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-216-sq-yard-spid-V81960266,Residential land / Plot,18.36 Lac,₹944 /sqft,Plot_area 1944 sq.ft.l*b :78 ft.(23.77) m.*27 ft.(8.23) m.,1.0,Yes,39.4 ft,Freehold,AUDA,Yes,,"Dholera Dream City, Dholera, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,V81960266,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']","['East Facing', 'Overlooking Park/Garden', 'Overlooking Main Road', 'Feng Shui/ Vaastu Compliant']",,,"Discover a world-Class residential project with - Na-Noc ready, govt. Approved plan pass, and title clear property - Strategically located near ahmedabad-Dholera express highway, fedara- Pipli highway, and vataman-Pipli highway - Residential and semi-Commercial options available - Proximity to shri kashtbhanjandev kamiyala dham, mono rail junction, dholera international airport, artificial rive...","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Epsilon 7 Wonders Dholera,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-198-sq-yard-spid-V82656994,Residential land / Plot,16.83 Lac,₹944 /sqft,Plot_area 1782 sq.ft.l*b :56 ft.(17.14) m.*24 ft.(7.50) m.,2.0,Yes,43.0 ft,Freehold,AUDA,,Yes,"F-16, Epsilon 7 Wonders Dholera, Ahemdabad, Dholera, Ahmedabad",East,Under Construction,Possession: Within 6 months *,Resale,not available,V82656994,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"7 wonders by k&t group invest in the future at dholera smart city! The land of opportunities is calling! Own your dream plot in dholera, indias smart investment hub. With only 20 percent loading Presenting: 7 wonders by k&t group Where lifestyle meets investment potential. Why choose 7 wonders? Located on 250m wide ahmedabad-Dholera expressway Just 5 km from the upcoming dholera international a...","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
new project,https://www.99acres.com/residential-land-plot-for-sale-in-thol-mahesana-3000-sq-yard-spid-K83262366,Residential land / Plot,2.1 Cr,₹778 /sqft,Plot_area 27000 sq.ft.l*b :*,4.0,,,Freehold,AUDA,,Yes,"new project, Thol, Ahmedabad",,Ready To Move,Possession: Immediate *,Resale,not available,K83262366,[],[], ,,,Nature's grove plotting scheme with big size of plot where you build weekend home and villa near thol medha main road developed by nature's edge group.,
Ognaj ,https://www.99acres.com/residential-land-plot-for-sale-in-ognaj-ahmedabad-west-540-sq-yard-spid-T82962826,Residential land / Plot,5.67 Cr,"₹11,667 /sqft",Plot_area 4860 sq.ft.l*b :540 ft.(164.58) m.*180 ft.(54.86) m.,3.0,Yes,39.4 ft,Freehold,"AUDA,AMC",Yes,Yes,"Ognaj , SG Highway",West,Under Construction,Possession: Sep 2025 *,Resale,not available,T82962826,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Ognaj is an ideal location for buying residential plots in ahmedabad west. This plot in ognaj is a great buy for you. The plot is around super built up area of 540 sq.Yards in size. The boundary wall is already build around the plot. To build the residence, possession is expected by september 2025. The property belongs to owner through freehold ownership. This residential plot is all yours for ...","['Connectivity3.8/5', 'Lifestyle3.6/5', 'Safety3.9/5', 'Green Area3.8/5']"
Utsav bunglows /rowhouse,https://www.99acres.com/residential-land-plot-for-sale-in-jai-ambe-nagar-ahmedabad-west-615-sq-yard-spid-S82917296,Residential land / Plot,7 Cr,"₹12,647 /sqft",Plot_area 5535 sq.ft.l*b :660 ft.(201.16) m.*270 ft.(82.29) m.,1.0,Yes,78.7 ft,Freehold,"AMC,AUDA",Yes,Yes,"Utsav bunglows /rowhouse , Jai Ambe Nagar, Thaltej",West,Ready To Move,Possession: Immediate *,Resale,not available,S82917296,"['Gurukul', 'Bank of baroda ATM', 'Axis bank ATM', 'Udit Hospital Multi Speciality', 'Surveen Children Hospital And Vaccination Centre', 'Sal Hospital and Medical Institute', 'Samarpan Maternity And Urosurgical Hospital', 'Mehta Hospital Siddhachal', 'Chandandwar Hospital', 'Dr. Manish Goyal', 'Raghudeep Eye Clinic', 'Apex Heart Institute', 'Neil Hospital Ahmedabad', ""Rainbow Super Speciality Children's Hospital"", 'Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd.', 'P.N.Desai Eye Hospital', 'Arthro Care Hospital', 'Kidney And Urology Hospital', 'Aroma Womens Hospital', 'Nandan Maternity Home', 'Sharda Eye Hospital Phaco And Laser Centre - Ahmedabad', 'Chandrabhan Hospital and Gynac Institute', 'Shraddha Surgical Hospital Ahmedabad', 'Shri Gordhandas Charitable Hospital', 'Shree Raj Hospital Ahmedabad', 'Shreeji Orthopaedic And Ent Hospital', 'Vatsalya Children Hospital Ahmedabad', 'Jain Hospital And Icu Ahmedabad', ""Brinda Women's Hospital"", 'little flower', 'Uro Care', 'Shreekrishna Hospital and Health Care Centre', 'Shashwat Hospital and Research Center Ahmedabad', 'Aditya Eye Hospital Ahmedabad', 'Netram Care Eye Hospital', 'Aayush Surgical Hospital', 'Rushabh Uro Hospital', 'Om Children Hospital', 'Milan Orthopaedic and Fracture Hospital', 'Ramanand gurukul swastik hall', 'Shangrila Bunglows', 'Indian oil', 'PVR acropolis mall', 'Adlabs BIG Cinema', 'V.Desi Food Couet', 'Barbeque Nation', 'Subway', 'Nirma School', 'Indian Institute Of Management', 'Azista Aerospace']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Spacious, ready to build plot in jai ambe nagar, ahmedabad west. This 615 sq.Yards super built up area plot is your opportunity to build a exceptional residence. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 7 crore and it is ...",
Shela,https://www.99acres.com/residential-land-plot-for-sale-in-shela-ahmedabad-west-1555-sq-yard-spid-C82912416,Residential land / Plot,12.44 Cr,"₹8,889 /sqft",Plot_area 13995 sq.ft.l*b :660 ft.(201.16) m.*270 ft.(82.29) m.,2.0,Yes,39.4 ft,Freehold,,Yes,Yes,"Shela, Ahmedabad",West,Ready To Move,Possession: Immediate *,Resale,not available,C82912416,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Looking for a plot in a prime location of ahmedabad west? This plot in vraj garden,b/h applewood township,shela is the best deal for you. It's a 1555 sq.Yards super built up area property. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The property is owned under freehold contract. The plot is available a...","['Connectivity4/5', 'Lifestyle4.1/5', 'Safety4.2/5', 'Green Area4.3/5']"
Bavlu,https://www.99acres.com/residential-land-plot-for-sale-in-bavlu-ahmedabad-west-700-sq-yard-spid-Y82860470,Residential land / Plot,1 Cr,"₹1,587 /sqft",Plot_area 6300 sq.ft.l*b :720 ft.(219.45) m.*240 ft.(73.15) m.,2.0,Yes,39.4 ft,Freehold,,Yes,Yes,"Bavlu, Ahmedabad",West,Under Construction,Possession: Oct 2026 *,Resale,not available,Y82860470,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Check out this plot for sale in arvind fruits of life, one of the best locations in ahmedabad west. This 700 sq.Yards super built up area plot is your opportunity to build a exceptional residence. The boundary wall is already build around the plot. To build the residence, possession is expected by october 2026. The type of ownership is freehold. The price of this massive plot is just 1 crore. F...",
Kavisha Ploting,https://www.99acres.com/residential-land-plot-for-sale-in-thol-mahesana-3000-sq-yard-spid-E82857442,Residential land / Plot,7.5 Cr,"₹2,778 /sqft",Plot_area 27000 sq.ft.l*b :900 ft.(274.31) m.*540 ft.(164.58) m.,2.0,Yes,78.7 ft,Freehold,AUDA,Yes,Yes,"Kavisha Ploting , Thol, Ahmedabad",West,Under Construction,Possession: Nov 2026 *,Resale,not available,E82857442,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,This plot in thol provides you great opportunity to build a fabulous residence in ahmedabad south. It's a 3000 sq.Yards super built up area property. The property is enclosed by boundary wall. Possession of land can be secured by november 2026. The owner of the property has freehold entitlement over the land. The asking price is only 7.5 crore. Negotiable. This residential plot is west-Facing d...,
GREEN VALLEY,https://www.99acres.com/residential-land-plot-for-sale-in-thol-mahesana-1200-sq-yard-spid-B82794496,Residential land / Plot,1.56 Cr,"₹1,444 /sqft",Plot_area 10800 sq.ft.l*b :540 ft.(164.58) m.*180 ft.(54.86) m.,2.0,Yes,39.4 ft,Freehold,,Yes,Yes,"GREEN VALLEY, Thol, Ahmedabad",West,Ready To Move,Possession: Immediate *,Resale,not available,B82794496,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Looking for a plot in a prime location of ahmedabad south? This plot in thol is the best deal for you. The plot is around super built up area of 1200 sq.Yards in size. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The property belongs to owner through freehold ownership. This residential plot is all your...",
Kalrav nest,https://www.99acres.com/residential-land-plot-for-sale-in-thol-mahesana-1500-sq-yard-spid-D82787438,Residential land / Plot,2.7 Cr,"₹2,000 /sqft",Plot_area 13500 sq.ft.l*b :660 ft.(201.16) m.*240 ft.(73.15) m.,2.0,Yes,39.4 ft,Freehold,,Yes,Yes,"Kalrav nest, Thol, Ahmedabad",West,Under Construction,Possession: May 2027 *,Resale,not available,D82787438,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"To build a splendid residence, this plot in thol, ahmedabad west is the best fit for you. It spans over spectacular 1500 sq.Yards super built up area. The property is guarded and secluded by boundary wall around it. Expected possession of property by may 2027. The type of ownership is freehold. The price of this massive plot is just 2.7 crore. Further negotiations can be done. This plot is faci...",
The Park By Suryam,https://www.99acres.com/residential-land-plot-for-sale-in-greater-thol-ahmedabad-west-1200-sq-yard-spid-U82720208,Residential land / Plot,1.56 Cr,"₹1,444 /sqft",Plot_area 10800 sq.ft.l*b :450 ft.(137.15) m.*210 ft.(64.00) m.,2.0,Yes,39.4 ft,Freehold,AUDA,Yes,Yes,"The Park By Suryam, Greater Thol, Rancharda, Ahmedabad",West,Under Construction,Possession: Jun 2026 *,Resale,not available,U82720208,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Spacious, ready to build plot in greater thol, ahmedabad west. It spreads over 1200 sq.Yards super built up area. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received by june 2026. The owner of the property has freehold entitlement over the land. The asking price is only 1.56 crore. Negotiable. This residential plot is west-Faci...","['Connectivity3.6/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.6/5']"
Greater Thol,https://www.99acres.com/residential-land-plot-for-sale-in-greater-thol-ahmedabad-west-1500-sq-yard-spid-C82719420,Residential land / Plot,1.95 Cr,"₹1,444 /sqft",Plot_area 13500 sq.ft.l*b :540 ft.(164.58) m.*240 ft.(73.15) m.,2.0,Yes,49.2 ft,Freehold,AUDA,Yes,Yes,"Greater Thol, Rancharda, Ahmedabad",North-East,Ready To Move,Possession: Immediate *,Resale,not available,C82719420,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,"Looking for a plot in a prime location of ahmedabad west? This plot in greater thol is the best deal for you. It spans over spectacular 1500 sq.Yards super built up area. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. The owner of the property has freehold entitlement over the land. The asking price is only 1.95 crore. Negotiable....","['Connectivity3.6/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.6/5']"
Shyam Dholera Global City,https://www.99acres.com/residential-land-plot-for-sale-in-shyam-dholera-global-city-dholera-ahmedabad-south-120-sq-yard-spid-M81883614,Residential land / Plot,11 Lac,"₹1,018 /sqft",Plot_area 1080 sq.ft.l*b :*,4.0,Yes,25.0 ft,Freehold,,,Yes,"Shyam Dholera Global City, Dholera, Ahmedabad",,Under Construction,Possession: Within 6 months *,Resale,not available,M81883614,[],"['Water Storage', 'Car Parking', 'Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Rain Water Harvesting', 'Club House', ""Children's Play Area"", 'Park', 'Banquet Hall', 'Jogging Track', 'Yoga/Meditation Area', 'Library']",['Feng Shui/ Vaastu Compliant'],,402.0,"Inside or near dholera sir (Special investment region)indias first smart city and a major industrial and commercial hub in the making. Proximity to dholera international airport, the expressway, and the dmic (Delhi-Mumbai industrial corridor). The area is part of a planned greenfield smart city with support from both state and central governments. World-Class urban planning, plug-And-Play infra...","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Mivan Realty Paradise 2,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-138-sq-yard-r1-spid-B80748289,Residential land / Plot,10 Lac,₹806 /sqft,Plot_area 1239.93 sq.ft.l*b :*,3.0,Yes,39.4 ft,Freehold,"AMC,AUDA",Yes,Yes,"Plot No. 199, Mivan Realty Paradise 2, Dholera, Ahmedabad",East,Under Construction,Possession: Within 6 months *,Resale,PR/GJ/AHMEDABAD/DHANDHUKA/Others/PAA07929/180121,B80748289,[],"['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['Overlooking Park/Garden', 'Overlooking Main Road', 'Rain Water Harvesting']",,,"Mivan realty paradise by mivan realty dholera in dholera, ahmedabad is a plotting development housing society. This project is a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. This housing society is now ready to be called home as families have started moving in. Why dholera for property investment? Dholera is one of the attractive an...","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera SIR Government Housing Project,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-100-sq-yard-r1-spid-T80831217,Residential land / Plot,20 Lac,"₹2,222 /sqft",Plot_area 900 sq.ft.l*b :*,3.0,Yes,59.1 ft,Freehold,"AMC,AUDA",Yes,Yes,"Dholera Sir Plots, Dholera SIR Government Housing Project, Dholera, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,T80831217,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['East Facing', 'Dholera City Metro Nearby', 'Dholera Main City Market Nearby', 'Corner Property', 'Dholera International Airport Nearby', 'Dholera World Mall Nearby', 'Overlooking Park/Garden', 'Overlooking Main Road', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,"Buy an affordable plot in dholera affordable housing in dholera, ahmedabad. It is a plotting development housing society. This project is a perfect combination of comfort, affordability and style, specifically designed to suit your requirements and conveniences. This housing society is now ready to be called home as families have started moving in and resale prices are slowly moving up. Why dho...","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Mivan Breeze Residency,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-100-sq-yard-r1-spid-E80830325,Residential land / Plot,10 Lac,"₹1,111 /sqft",Plot_area 900 sq.ft.l*b :*,3.0,Yes,59.1 ft,Freehold,"AMC,AUDA",Yes,Yes,"Dholerasir Plots, Mivan Breeze Residency, Dholera, Ahmedabad",East,Under Construction,Possession: Dec 2025 *,Resale,not available,E80830325,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['East Facing', 'Corner Property', 'Overlooking Park/Garden', 'Overlooking Main Road', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,"Mivan realty breeze residency is a flagship residential project situated in the heart of dholera, indias first planned smart city. This visionary development is designed to offer a perfect balance of modern living and natural tranquility. With its strategic location, mivan realty breeze residency provides unmatched access to the airport expressway, rail networks, and the upcoming dholera intern...","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera Forest Estate,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-150-sq-yard-r1-spid-Q80829073,Residential land / Plot,12 Lac,₹889 /sqft,Plot_area 1350 sq.ft.l*b :*,3.0,Yes,18.0 ft,Freehold,"AMC,AUDA",Yes,Yes,"Dholerasir Plots, Dholera Forest Estate, Dholera, Ahmedabad",East,Under Construction,Possession: Mar 2026 *,Resale,not available,Q80829073,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['East Facing', 'Corner Property', 'Overlooking Park/Garden', 'Overlooking Main Road', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,"A one-Of-A-Kind forest-Themed plotted development and villa project in the vicinity of dholera smart city. Designed to leave a green legacy, dholera forest estate is not just a place to live but an opportunity for sustainable investment with promising returns.","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera Smart City Affordable Plots,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-100-sq-yard-r1-spid-T80847589,Residential land / Plot,8 Lac,₹889 /sqft,Plot_area 900 sq.ft.l*b :*,3.0,Yes,39.4 ft,Freehold,"AMC,AUDA",Yes,Yes,"Dholera Sir Affordable Plots, Dholera Smart City Affordable Plots, Dholera, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,T80847589,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['East Facing', 'Corner Property', 'Overlooking Park/Garden', 'Overlooking Main Road', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,"Buy an affordable plot in dholera smart city affordable housing in dholera, ahmedabad. It is a plotting development housing society. This project is a perfect combination of comfort, affordability and style, specifically designed to suit your requirements and conveniences. This housing society is now ready to be called home as families have started moving in and resale prices are slowly moving ...","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera Metro City,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-metro-city-dholera-ahmedabad-south-200-sq-yard-spid-B82301514,Residential land / Plot,13 Lac,₹722 /sqft,Plot_area 1800 sq.ft.l*b :360 ft.(109.72) m.*150 ft.(45.72) m.,2.0,Yes,60.0 ft,Freehold,AUDA,Yes,Yes,"104, Dholera Metro City, Dholera, Ahmedabad",North-East,Under Construction,Possession: Within 3 months *,Resale,not available,B82301514,[],"['Water Storage', 'Car Parking', 'Gymnasium', 'Maintenance Staff', 'Rain Water Harvesting', 'Club House', ""Children's Play Area"", 'Park', 'Multipurpose Hall', 'Paved Compound', 'Waiting Lounge']",['Rain Water Harvesting'],,,Na noc title clear plots: Ensuring a hassle-Free investment experience! Legally approved project: Compliance with all regulations for a secure investment! Prime & strategic location: Unbeatable location for maximum returns! 100% transparent policies: Clear and honest communication throughout! Lowest down payment: Affordable entry point for investors! Maximum emi: Flexible payment plans to suit ...,"['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
on request,https://www.99acres.com/residential-land-plot-for-sale-in-science-city-ahmedabad-west-1050-sq-yard-r2-spid-W79707735,Residential land / Plot,13.65 Cr,"₹14,444 /sqft",Plot_area 9450 sq.ft.l*b :210 ft.(64.00) m.*60 ft.(18.29) m.,2.0,Yes,100.0 ft,Freehold,AMC,,Yes,"111 Science City, on request, Science City, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,W79707735,"['Bhagwat Vidyapeeth', 'ambe mataa mandir', 'Cims Hospital Private Limieted', 'Motherhood Womens and Child Care Hospital', 'HCG Cancer Centre', 'Gmers Medical College Hospital', 'Tirtham Surgical and Laparoscopic Centre', 'Kalpana Maternity and Nursing Home Ahmedabad', 'Netram Care Eye Hospital', 'Aditya Multi-Speciality Hospital', 'Om Children Hospital', 'Surveen Children Hospital And Vaccination Centre', 'J J Hospital Ahmedabad', 'Mahalaxmi Maternity Nursing Home and Sonography Center', 'Shreekrishna Hospital and Health Care Centre', 'Dr.Atul Shah Eye Hospital', 'Shashwat Hospital and Research Center Ahmedabad', 'Gurukrupa Hospital Ahmedabad', 'Shree Mahavir Mutlispeciality Hospital and Icu', 'Samarpan Maternity And Urosurgical Hospital', 'Sanjeevani Hospital Ahmedabad', 'Auroma Ent Hospital', 'Shri Rang Hospitaland Research Centre', 'Sitababa Hospital', 'Vallabh Surgical Hospital', 'Udit Hospital Multi Speciality', 'Sainath Orhtopaedic Hospital', 'Shri Yogeshwar General Hospital', 'Neil Hospital Ahmedabad', 'Shaishav Children Hospital Ahmedabad', 'Aroma Womens Hospital', 'Devam Orthopaedic Hospital', 'Sal Hospital and Medical Institute', 'Cutis Cosmetic Plastic Surgery Centre', 'Aastha Eye Care Centre', 'Aneri Children Hospital', 'Shangrila Bunglows', 'West Cost pharma', 'Bharat Petroleum', 'Rajhans Cinemas', 'PVR acropolis mall', 'V.Desi Food Couet', 'RC TECHNICAL INSTITUTE', 'Indian Institute Of Management', 'Amrita Vidyalayam', 'Nalanda School', 'Lalbhai Dalpatbhai College of Engineering', 'Karmachari Shiksan Tirth', 'Nutan Vidya Vihar', 'Azista Aerospace']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']",['Feng Shui/ Vaastu Compliant'],,,"Modern living, exclusive villa plots various plot sizes available serene natural surroundings prime location.
Available very close to this place groceries, clothes market.","['Connectivity4.3/5', 'Lifestyle4.3/5', 'Safety4.1/5', 'Green Area4.2/5']"
on request,https://www.99acres.com/residential-land-plot-for-sale-in-sindhu-bhavan-road-ahmedabad-west-1500-sq-yard-spid-C82462260,Residential land / Plot,24.6 Cr,"₹18,222 /sqft",Plot_area 13500 sq.ft.l*b :210 ft.(64.00) m.*90 ft.(27.43) m.,2.0,Yes,100.0 ft,Freehold,AMC,,Yes,"111 Sindhubhavan, on request, Sindhu Bhavan Road, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,C82462260,"['ISKON Temple', 'Paramdham Temple', 'State bank of india ATM', 'Apex Heart Institute', 'The Vitreoretina Clinic and Eye Hospital', 'Raksha Hospital Pvt Ltd', 'Samarpan Maternity And Urosurgical Hospital', 'Arthro Care Hospital', 'Vatsalya Maternity Nursing Home', 'Avataran Eye Hospital and Oculoplasty Clinic', 'Udit Hospital Multi Speciality', 'Shri Gordhandas Charitable Hospital', ""Brinda Women's Hospital"", 'Aakshardeep Eye Hospital', 'Kirenben Maternity And Nursing Home', ""Tender Touch Children's Hospital"", 'Sal Hospital and Medical Institute', 'Jalaram Hospital Ahmedabad', 'Mehta Hospital Siddhachal', 'Uro Care', 'Raghunath Party Plot', 'Shangrila Bunglows', 'HP Fuel Station', 'Indian bank', 'PVR acropolis mall', 'Mukta A2 Cinemas', 'Wide Angle', 'cabana lounge', 'Cooking Culture', 'Havmor', ""Deva's Coffee Bar"", 'Honest', 'Gordhan Thal', 'Subway', 'Atithi Dining Hall', 'The Cafe Date', 'Little Italy', 'Starbucks', 'Mocha', 'Black Salt', 'Cafe Coffee Day', 'Mc Donalds', 'Satva Vikas School', 'Nirma School', 'SN Collage', 'SN School', 'Ambli road railway station', 'TatvaSoft', 'Sauber Environmental Solutions Pvt. Ltd.', 'Aardenco Infotech Pvt Ltd']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']",['Feng Shui/ Vaastu Compliant'],,,"Plot for sale prime location, 24 hour water supply available, 24 hour security available, need facilities available by walking distance, enough space for park your car.","['Connectivity4.2/5', 'Lifestyle4.4/5', 'Safety4.2/5', 'Green Area4.2/5']"
